Group,Year,County,Enrollment
American Indialaska Native Students,2010,LASSEN COUNTY,255
American Indialaska Native Students,2010,LOS ANGELES COUNTY,5184
American Indialaska Native Students,2010,MADERA COUNTY,417
American Indialaska Native Students,2010,MARIN COUNTY,105
American Indialaska Native Students,2010,MARIPOSA COUNTY,120
American Indialaska Native Students,2010,MENDOCINO COUNTY,1059
American Indialaska Native Students,2010,MERCED COUNTY,226
American Indialaska Native Students,2010,MODOC COUNTY,73
American Indialaska Native Students,2010,MONO COUNTY,42
American Indialaska Native Students,2010,MONTEREY COUNTY,225
American Indialaska Native Students,2010,NAPA COUNTY,138
American Indialaska Native Students,2010,NEVADA COUNTY,226
American Indialaska Native Students,2010,ORANGE COUNTY,2507
American Indialaska Native Students,2010,PLACER COUNTY,557
American Indialaska Native Students,2010,PLUMAS COUNTY,93
American Indialaska Native Students,2010,RIVERSIDE COUNTY,2465
American Indialaska Native Students,2010,SACRAMENTO COUNTY,2016
American Indialaska Native Students,2010,SAN BENITO COUNTY,51
American Indialaska Native Students,2010,SAN BERNARDINO COUNTY,2266
American Indialaska Native Students,2010,SAN DIEGO COUNTY,3410
American Indialaska Native Students,2010,SAN FRANCISCO COUNTY,269
American Indialaska Native Students,2010,SAN JOAQUIN COUNTY,2130
American Indialaska Native Students,2010,SAN LUIS OBISPO COUNTY,250
American Indialaska Native Students,2010,SAN MATEO COUNTY,219
American Indialaska Native Students,2010,SANTA BARBARA COUNTY,382
American Indialaska Native Students,2010,SANTA CLARA COUNTY,1050
American Indialaska Native Students,2010,SANTA CRUZ COUNTY,160
American Indialaska Native Students,2010,SHASTA COUNTY,1443
American Indialaska Native Students,2010,SIERRA COUNTY,5
American Indialaska Native Students,2010,SISKIYOU COUNTY,359
American Indialaska Native Students,2010,SOLANO COUNTY,578
American Indialaska Native Students,2010,SONOMA COUNTY,822
American Indialaska Native Students,2010,STANISLAUS COUNTY,752
American Indialaska Native Students,2010,SUTTER COUNTY,199
American Indialaska Native Students,2010,TEHAMA COUNTY,268
American Indialaska Native Students,2010,TRINITY COUNTY,161
American Indialaska Native Students,2010,TULARE COUNTY,1045
American Indialaska Native Students,2010,TUOLUMNE COUNTY,124
American Indialaska Native Students,2010,VENTURA COUNTY,774
American Indialaska Native Students,2010,YOLO COUNTY,236
American Indialaska Native Students,2010,YUBA COUNTY,536
American Indialaska Native Students,2009,ALAMEDA COUNTY,482
American Indialaska Native Students,2009,ALPINE COUNTY,39
American Indialaska Native Students,2009,AMADOR COUNTY,113
American Indialaska Native Students,2009,BUTTE COUNTY,950
American Indialaska Native Students,2009,CALAVERAS COUNTY,139
American Indialaska Native Students,2009,COLUSA COUNTY,86
American Indialaska Native Students,2009,CONTRA COSTA COUNTY,435
American Indialaska Native Students,2009,DEL NORTE COUNTY,621
American Indialaska Native Students,2009,EL DORADO COUNTY,361
American Indialaska Native Students,2009,FRESNO COUNTY,1559
American Indialaska Native Students,2009,GLENN COUNTY,111
American Indialaska Native Students,2009,HUMBOLDT COUNTY,2035
American Indialaska Native Students,2009,IMPERIAL COUNTY,436
American Indialaska Native Students,2009,INYO COUNTY,471
American Indialaska Native Students,2009,KERN COUNTY,1236
American Indialaska Native Students,2009,KINGS COUNTY,421
American Indialaska Native Students,2009,LAKE COUNTY,382
American Indialaska Native Students,2009,LASSEN COUNTY,283
American Indialaska Native Students,2009,LOS ANGELES COUNTY,4734
American Indialaska Native Students,2009,MADERA COUNTY,426
American Indialaska Native Students,2009,MARIN COUNTY,68
American Indialaska Native Students,2009,MARIPOSA COUNTY,116
American Indialaska Native Students,2009,MENDOCINO COUNTY,1032
American Indialaska Native Students,2009,MERCED COUNTY,246
American Indialaska Native Students,2009,MODOC COUNTY,81
American Indialaska Native Students,2009,MONO COUNTY,41
American Indialaska Native Students,2009,MONTEREY COUNTY,253
American Indialaska Native Students,2009,NAPA COUNTY,159
American Indialaska Native Students,2009,NEVADA COUNTY,276
American Indialaska Native Students,2009,ORANGE COUNTY,2516
American Indialaska Native Students,2009,PLACER COUNTY,539
American Indialaska Native Students,2009,PLUMAS COUNTY,109
American Indialaska Native Students,2009,RIVERSIDE COUNTY,1304
American Indialaska Native Students,2009,SACRAMENTO COUNTY,1112
American Indialaska Native Students,2009,SAN BENITO COUNTY,53
American Indialaska Native Students,2009,SAN BERNARDINO COUNTY,2134
American Indialaska Native Students,2009,SAN DIEGO COUNTY,1990
American Indialaska Native Students,2009,SAN FRANCISCO COUNTY,250
American Indialaska Native Students,2009,SAN JOAQUIN COUNTY,2377
American Indialaska Native Students,2009,SAN LUIS OBISPO COUNTY,263
American Indialaska Native Students,2009,SAN MATEO COUNTY,208
American Indialaska Native Students,2009,SANTA BARBARA COUNTY,402
American Indialaska Native Students,2009,SANTA CLARA COUNTY,1073
American Indialaska Native Students,2009,SANTA CRUZ COUNTY,152
American Indialaska Native Students,2009,SHASTA COUNTY,1480
American Indialaska Native Students,2009,SIERRA COUNTY,2
American Indialaska Native Students,2009,SISKIYOU COUNTY,362
American Indialaska Native Students,2009,SOLANO COUNTY,568
American Indialaska Native Students,2009,SONOMA COUNTY,986
